Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,100p,C_0603_1608Metric,150.7,-57.935,90.0,top
C10,4.7n,C_0603_1608Metric,124.725,-72.0,90.0,top
C11,4.7n,C_0603_1608Metric,158.3,-55.11,0.0,top
C12,220p,C_0603_1608Metric,126.25,-72.0,90.0,top
C13,220p,C_0603_1608Metric,158.3,-56.635,0.0,top
C17,10n,C_0805_2012Metric,121.93,-68.7,90.0,top
C18,10n,C_0805_2012Metric,123.95,-68.7,90.0,top
C19,10n,C_0805_2012Metric,125.97,-68.7,90.0,top
C20,10n,C_0805_2012Metric,127.99,-68.7,90.0,top
C21,10n,C_0805_2012Metric,161.6,-52.315,0.0,top
C22,4.7n,C_0603_1608Metric,137.05,-67.3,0.0,top
C23,10n,C_0805_2012Metric,161.6,-54.335,0.0,top
C24,470n,C_0805_2012Metric,139.7,-66.8,90.0,top
C25,470n,C_0805_2012Metric,104.345,-52.617,90.0,top
C26,220u,CP_Elec_8x10.5,115.7,-42.2,-90.0,top
C27,10n,C_0805_2012Metric,161.6,-56.355,0.0,top
C28,470n,C_0805_2012Metric,144.0,-67.5,180.0,top
C29,10n,C_0805_2012Metric,161.6,-58.375,0.0,top
C3,220u,CP_Elec_8x10.5,125.0,-55.1,-90.0,top
C30,470n,C_0805_2012Metric,141.9,-74.6,0.0,top
C31,4.7n,C_0603_1608Metric,163.0,-67.435,-90.0,top
C32,22uF,C_0805_2012Metric,143.8,-70.3,-90.0,top
C33,470n,C_0805_2012Metric,163.5,-70.085,0.0,top
C34,100n,C_0603_1608Metric,134.075,-67.3,0.0,top
C35,100n,C_0603_1608Metric,163.0,-64.46,-90.0,top
C36,10n,C_0805_2012Metric,130.01,-68.7,90.0,top
C37,220u,CP_Elec_8x10.5,125.0,-42.2,-90.0,top
C38,10n,C_0805_2012Metric,161.6,-60.395,0.0,top
C39,470n,C_0805_2012Metric,162.8,-74.385,90.0,top
C4,220u,CP_Elec_8x10.5,115.7,-55.1,-90.0,top
C40,470n,C_0805_2012Metric,155.7,-72.285,-90.0,top
C41,22uF,C_0805_2012Metric,160.0,-74.185,180.0,top
C42,100n,C_0805_2012Metric,142.125,-41.45,90.0,top
C43,100n,C_0805_2012Metric,131.075,-55.4,90.0,top
C44,10u,C_0805_2012Metric,146.3147,-41.45,90.0,top
C45,10u,C_0805_2012Metric,133.2,-55.4,90.0,top
C46,10u,C_0805_2012Metric,144.21985,-41.45,90.0,top
C47,10u,C_0805_2012Metric,135.3,-55.4,90.0,top
C49,10u,C_0805_2012Metric,129.35,-74.1,0.0,top
C5,100p,C_0603_1608Metric,127.55,-79.6,180.0,top
C50,10u,C_0805_2012Metric,156.2,-59.735,-90.0,top
C51,10u,C_0805_2012Metric,129.35,-76.2,0.0,top
C52,10u,C_0805_2012Metric,154.1,-59.735,-90.0,top
C53,2.2u,C_0805_2012Metric,129.35,-72.1,0.0,top
C54,2.2u,C_0805_2012Metric,158.2,-59.735,-90.0,top
C55,22uF,C_0805_2012Metric,141.75,-70.3,-90.0,top
C56,22uF,C_0805_2012Metric,160.0,-72.135,180.0,top
C57,2.2uF,C_0805_2012Metric,139.7,-70.3,-90.0,top
C58,2.2uF,C_0805_2012Metric,160.0,-70.085,180.0,top
C6,4.7n,C_0603_1608Metric,121.675,-72.0,90.0,top
C7,4.7n,C_0603_1608Metric,158.3,-52.06,0.0,top
C73,22uF,C_0603_1608Metric,123.975,-77.4,180.0,top
C74,22uF,C_0603_1608Metric,152.9,-54.36,90.0,top
C75,22uF,C_0603_1608Metric,123.975,-74.286667,180.0,top
C76,22uF,C_0603_1608Metric,156.013333,-54.36,90.0,top
C77,22uF,C_0603_1608Metric,120.875,-75.861667,0.0,top
C78,22uF,C_0603_1608Metric,154.438333,-51.26,-90.0,top
C79,22uF,C_0603_1608Metric,120.875,-77.418334,0.0,top
C8,4.7n,C_0603_1608Metric,123.2,-72.0,90.0,top
C80,22uF,C_0603_1608Metric,152.881666,-51.26,-90.0,top
C81,22uF,C_0603_1608Metric,120.875,-78.975,0.0,top
C82,22uF,C_0603_1608Metric,151.325,-51.26,-90.0,top
C87,22uF,C_0603_1608Metric,120.875,-80.531667,0.0,top
C88,22uF,C_0603_1608Metric,120.875,-82.088334,0.0,top
C89,22uF,C_0603_1608Metric,123.975,-80.513334,180.0,top
C9,4.7n,C_0603_1608Metric,158.3,-53.585,0.0,top
C90,22uF,C_0603_1608Metric,123.975,-78.956667,180.0,top
C91,22uF,C_0603_1608Metric,123.975,-75.843334,180.0,top
C92,22uF,C_0603_1608Metric,149.768333,-51.26,-90.0,top
C93,22uF,C_0603_1608Metric,148.211666,-51.26,-90.0,top
C94,22uF,C_0603_1608Metric,149.786666,-54.36,90.0,top
C95,22uF,C_0603_1608Metric,151.343333,-54.36,90.0,top
C96,22uF,C_0603_1608Metric,154.456666,-54.36,90.0,top
D1,MB10S,TO-269AA,106.9,-47.9,0.0,top
D2,1N5819WS,D_SOD-323,130.9,-48.0,-90.0,top
D3,1N5819WS,D_SOD-323,137.4,-55.35,-90.0,top
D4,1N5819WS,D_SOD-323,137.775,-38.05,0.0,top
D5,LED,LED_D5.0mm,155.105,-40.6,180.0,top
D6,1N5819WS,D_SOD-323,134.125,-38.05,180.0,top
F1,Fuse 250mA Slow-Blow,Fuse_BelFuse_0ZRE0008FF_L8.3mm_W3.8mm,94.82,-71.794,180.0,top
J1,Conn_01x02,PinHeader_1x02_P2.54mm_Vertical,166.2,-56.93,0.0,top
J2,Conn_01x02,PinHeader_1x02_P2.54mm_Vertical,135.895,-83.0,90.0,top
J3,Conn_01x03,PinHeader_1x03_P2.54mm_Vertical,144.185,-83.1,-90.0,top
R1,220k,R_0603_1608Metric,152.3,-57.935,90.0,top
R11,5.1k,R_0603_1608Metric,120.9,-74.3,180.0,top
R12,120,R_0603_1608Metric,120.15,-72.025,90.0,top
R13,5.1k,R_0603_1608Metric,156.0,-51.285,90.0,top
R14,470,R_0603_1608Metric,134.075,-65.8,0.0,top
R15,120,R_0603_1608Metric,158.275,-50.535,0.0,top
R16,68,R_0603_1608Metric,137.05,-65.8,0.0,top
R17,470,R_0603_1608Metric,164.5,-64.46,-90.0,top
R18,12k,R_0603_1608Metric,141.5,-67.0,-90.0,top
R19,68,R_0603_1608Metric,164.5,-67.435,-90.0,top
R20,220,R_0603_1608Metric,126.25,-75.036667,90.0,top
R21,220,R_0603_1608Metric,155.263333,-56.635,0.0,top
R22,200,R_0603_1608Metric,143.225,-72.8,0.0,top
R23,12k,R_0603_1608Metric,163.3,-71.885,180.0,top
R24,47k,R_0603_1608Metric,140.2,-72.8,0.0,top
R25,200,R_0603_1608Metric,157.5,-73.61,-90.0,top
R26,82k,R_0603_1608Metric,139.4,-75.1,90.0,top
R27,47k,R_0603_1608Metric,157.5,-70.585,-90.0,top
R28,22k,R_0603_1608Metric,145.6705,-70.207,90.0,top
R29,82k,R_0603_1608Metric,155.2,-69.785,0.0,top
R3,220k,R_0603_1608Metric,127.55,-78.0,180.0,top
R30,100,R_0603_1608Metric,147.271,-70.207,90.0,top
R31,22k,R_0603_1608Metric,160.175,-77.585,0.0,top
R32,47k,R_0603_1608Metric,150.225,-42.115,180.0,top
R33,120,R_0603_1608Metric,106.377,-52.363,90.0,top
R34,47k,R_0603_1608Metric,150.225,-40.5075,180.0,top
R35,47k,R_0603_1608Metric,150.225,-38.9,180.0,top
R36,100,R_0603_1608Metric,160.2,-75.985,0.0,top
R4,68k,R_0603_1608Metric,130.35,-78.7,-90.0,top
R5,68k,R_0603_1608Metric,151.6,-60.735,180.0,top
R6,62k,R_0603_1608Metric,120.14,-68.7,90.0,top
R7,62k,R_0603_1608Metric,161.6,-50.525,0.0,top
R8,1.5k,R_0603_1608Metric,121.0,-66.2,0.0,top
R9,1.5k,R_0603_1608Metric,164.1,-51.385,-90.0,top
RV1,Varistor Thermally Protected,RV_Disc_D12mm_W3.9mm_P7.5mm,83.898,-71.794,180.0,top
T1,BV302D18028,BV302D18028,88.75,-52.45,90.0,top
U1,NE5532,SOIC-8_3.9x4.9mm_P1.27mm,159.4,-65.285,-90.0,top
U3,MC78M15_TO252,TO-252-2,137.6,-49.9725,0.0,top
U4,MC79M15_TO252,TO-252-2,135.5,-42.625,180.0,top
U5,NE5532,SOIC-8_3.9x4.9mm_P1.27mm,134.9,-70.9,0.0,top
